province_state,country_region,date,confirmed,deaths,recovered,active
Aruba,Netherlands,2022-07-31,42080,224,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2022-07-31,10834,37,,
Curacao,Netherlands,2022-07-31,45063,282,,
Drenthe,Netherlands,2022-07-31,209526,458,,
Flevoland,Netherlands,2022-07-31,190101,336,,
Friesland,Netherlands,2022-07-31,284792,619,,
Gelderland,Netherlands,2022-07-31,1016764,2840,,
Groningen,Netherlands,2022-07-31,256296,359,,
Limburg,Netherlands,2022-07-31,544047,2178,,
Noord-Brabant,Netherlands,2022-07-31,1266947,3722,,
Noord-Holland,Netherlands,2022-07-31,1371937,3416,,
Overijssel,Netherlands,2022-07-31,581854,1427,,
Sint Maarten,Netherlands,2022-07-31,10741,87,,
Unknown,Netherlands,2022-07-31,0,0,,
Utrecht,Netherlands,2022-07-31,685888,1546,,
Zeeland,Netherlands,2022-07-31,174052,392,,
Zuid-Holland,Netherlands,2022-07-31,1748998,5199,,
Aruba,Netherlands,2021-10-21,15779,171,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-10-21,2373,19,,
Curacao,Netherlands,2021-10-21,16984,172,,
Drenthe,Netherlands,2021-10-21,40901,361,,
Flevoland,Netherlands,2021-10-21,46134,255,,
Friesland,Netherlands,2021-10-21,56354,491,,
Gelderland,Netherlands,2021-10-21,229414,2112,,
Groningen,Netherlands,2021-10-21,52362,271,,
Limburg,Netherlands,2021-10-21,137542,1714,,
Noord-Brabant,Netherlands,2021-10-21,320857,3188,,
Noord-Holland,Netherlands,2021-10-21,352076,2745,,
Overijssel,Netherlands,2021-10-21,134437,1168,,
Sint Maarten,Netherlands,2021-10-21,4468,75,,
Unknown,Netherlands,2021-10-21,6774,16,,
Utrecht,Netherlands,2021-10-21,160235,1307,,
Zeeland,Netherlands,2021-10-21,35714,259,,
Zuid-Holland,Netherlands,2021-10-21,491929,4393,,
Aruba,Netherlands,2020-12-31,5489,49,5149,291
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-12-31,196,3,180,13
Curacao,Netherlands,2020-12-31,4260,14,2925,1321
Drenthe,Netherlands,2020-12-31,13482,138,0,13344
Flevoland,Netherlands,2020-12-31,19538,156,0,19382
Friesland,Netherlands,2020-12-31,14776,172,0,14604
Gelderland,Netherlands,2020-12-31,88252,1309,0,86943
Groningen,Netherlands,2020-12-31,15022,90,0,14932
Limburg,Netherlands,2020-12-31,47476,1023,0,46453
Noord-Brabant,Netherlands,2020-12-31,124623,2382,0,122241
Noord-Holland,Netherlands,2020-12-31,136570,1627,0,134943
Overijssel,Netherlands,2020-12-31,54019,686,0,53333
Sint Maarten,Netherlands,2020-12-31,1456,27,1331,98
Unknown,Netherlands,2020-12-31,3668,34,0,3634
Utrecht,Netherlands,2020-12-31,66856,868,0,65988
Zeeland,Netherlands,2020-12-31,10462,127,0,10335
Zuid-Holland,Netherlands,2020-12-31,202237,2820,0,199417
Aruba,Netherlands,2021-10-04,15543,167,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-10-04,2157,19,,
Curacao,Netherlands,2021-10-04,16618,165,,
Drenthe,Netherlands,2021-10-04,39702,358,,
Flevoland,Netherlands,2021-10-04,44776,252,,
Friesland,Netherlands,2021-10-04,54263,488,,
Gelderland,Netherlands,2021-10-04,221777,2098,,
Groningen,Netherlands,2021-10-04,51094,268,,
Limburg,Netherlands,2021-10-04,132816,1698,,
Noord-Brabant,Netherlands,2021-10-04,314422,3173,,
Noord-Holland,Netherlands,2021-10-04,345384,2730,,
Overijssel,Netherlands,2021-10-04,130089,1166,,
Sint Maarten,Netherlands,2021-10-04,4342,68,,
Unknown,Netherlands,2021-10-04,6393,15,,
Utrecht,Netherlands,2021-10-04,155474,1304,,
Zeeland,Netherlands,2021-10-04,34489,258,,
Zuid-Holland,Netherlands,2021-10-04,478969,4376,,
Aruba,Netherlands,2020-09-21,3587,24,2369,1194
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-09-21,36,1,17,18
Curacao,Netherlands,2020-09-21,282,1,102,179
Drenthe,Netherlands,2020-09-21,791,41,0,750
Flevoland,Netherlands,2020-09-21,1812,97,0,1715
Friesland,Netherlands,2020-09-21,1083,69,0,1014
Gelderland,Netherlands,2020-09-21,9481,693,0,8788
Groningen,Netherlands,2020-09-21,1144,19,0,1125
Limburg,Netherlands,2020-09-21,6067,760,0,5307
Noord-Brabant,Netherlands,2020-09-21,14670,1552,0,13118
Noord-Holland,Netherlands,2020-09-21,19041,842,0,18199
Overijssel,Netherlands,2020-09-21,4167,314,0,3853
Sint Maarten,Netherlands,2020-09-21,591,20,505,66
Unknown,Netherlands,2020-09-21,829,18,0,811
Utrecht,Netherlands,2020-09-21,7574,437,0,7137
Zeeland,Netherlands,2020-09-21,1246,72,0,1174
Zuid-Holland,Netherlands,2020-09-21,28090,1367,0,26723
Aruba,Netherlands,2021-07-04,11144,107,11009,28
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-07-04,1651,17,1619,15
Curacao,Netherlands,2021-07-04,12349,126,12199,24
Drenthe,Netherlands,2021-07-04,34331,353,0,33978
Flevoland,Netherlands,2021-07-04,37057,244,0,36813
Friesland,Netherlands,2021-07-04,43885,478,0,43407
Gelderland,Netherlands,2021-07-04,189173,2028,0,187145
Groningen,Netherlands,2021-07-04,39540,263,0,39277
Limburg,Netherlands,2021-07-04,115809,1654,0,114155
Noord-Brabant,Netherlands,2021-07-04,273586,3140,0,270446
Noord-Holland,Netherlands,2021-07-04,279179,2627,0,276552
Overijssel,Netherlands,2021-07-04,110620,1141,0,109479
Sint Maarten,Netherlands,2021-07-04,2620,33,2561,26
Unknown,Netherlands,2021-07-04,3862,15,0,3847
Utrecht,Netherlands,2021-07-04,128909,1280,0,127629
Zeeland,Netherlands,2021-07-04,30010,248,0,29762
Zuid-Holland,Netherlands,2021-07-04,403145,4285,0,398860
Aruba,Netherlands,2020-04-23,100,2,68,30
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-04-23,5,0,0,5
Curacao,Netherlands,2020-04-23,14,1,11,2
Sint Maarten,Netherlands,2020-04-23,73,12,22,39
,Netherlands,2020-04-23,35729,4177,0,31552
Aruba,Netherlands,2022-07-18,41787,224,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2022-07-18,10567,37,,
Curacao,Netherlands,2022-07-18,44932,282,,
Drenthe,Netherlands,2022-07-18,208460,454,,
Flevoland,Netherlands,2022-07-18,189110,335,,
Friesland,Netherlands,2022-07-18,283684,618,,
Gelderland,Netherlands,2022-07-18,1009570,2826,,
Groningen,Netherlands,2022-07-18,255098,358,,
Limburg,Netherlands,2022-07-18,540527,2173,,
Noord-Brabant,Netherlands,2022-07-18,1259790,3715,,
Noord-Holland,Netherlands,2022-07-18,1365059,3402,,
Overijssel,Netherlands,2022-07-18,579140,1426,,
Sint Maarten,Netherlands,2022-07-18,10656,87,,
Unknown,Netherlands,2022-07-18,0,0,,
Utrecht,Netherlands,2022-07-18,682932,1543,,
Zeeland,Netherlands,2022-07-18,172839,392,,
Zuid-Holland,Netherlands,2022-07-18,1740951,5190,,
Netherlands,Netherlands,2020-03-18,2051,58,2,
Curacao,Netherlands,2020-03-18,3,0,0,
Aruba,Netherlands,2020-03-18,2,0,0,
Aruba,Netherlands,2020-07-23,117,3,101,13
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-07-23,10,0,7,3
Curacao,Netherlands,2020-07-23,28,1,24,3
Drenthe,Netherlands,2020-07-23,545,41,0,504
Flevoland,Netherlands,2020-07-23,984,92,0,892
Friesland,Netherlands,2020-07-23,645,69,0,576
Gelderland,Netherlands,2020-07-23,6553,684,0,5869
Groningen,Netherlands,2020-07-23,369,17,0,352
Limburg,Netherlands,2020-07-23,4899,753,0,4146
Noord-Brabant,Netherlands,2020-07-23,9854,1535,0,8319
Noord-Holland,Netherlands,2020-07-23,7659,815,0,6844
Overijssel,Netherlands,2020-07-23,3160,311,0,2849
Sint Maarten,Netherlands,2020-07-23,81,15,63,3
Unknown,Netherlands,2020-07-23,498,18,0,480
Utrecht,Netherlands,2020-07-23,4225,429,0,3796
Zeeland,Netherlands,2020-07-23,809,69,0,740
Zuid-Holland,Netherlands,2020-07-23,12204,1306,0,10898
Aruba,Netherlands,2022-02-01,33084,193,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2022-02-01,7077,28,,
Curacao,Netherlands,2022-02-01,37281,234,,
Drenthe,Netherlands,2022-02-01,89736,433,,
Flevoland,Netherlands,2022-02-01,104477,316,,
Friesland,Netherlands,2022-02-01,131369,588,,
Gelderland,Netherlands,2022-02-01,490909,2623,,
Groningen,Netherlands,2022-02-01,116294,344,,
Limburg,Netherlands,2022-02-01,299418,2085,,
Noord-Brabant,Netherlands,2022-02-01,672791,3576,,
Noord-Holland,Netherlands,2022-02-01,792654,3178,,
Overijssel,Netherlands,2022-02-01,293862,1354,,
Sint Maarten,Netherlands,2022-02-01,9338,79,,
Unknown,Netherlands,2022-02-01,37889,16,,
Utrecht,Netherlands,2022-02-01,376280,1487,,
Zeeland,Netherlands,2022-02-01,94100,363,,
Zuid-Holland,Netherlands,2022-02-01,1038500,4930,,
Aruba,Netherlands,2021-09-03,14764,149,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-09-03,1808,17,,
Curacao,Netherlands,2021-09-03,15413,148,,
Drenthe,Netherlands,2021-09-03,38467,353,,
Flevoland,Netherlands,2021-09-03,42999,250,,
Friesland,Netherlands,2021-09-03,51120,486,,
Gelderland,Netherlands,2021-09-03,215268,2070,,
Groningen,Netherlands,2021-09-03,49603,267,,
Limburg,Netherlands,2021-09-03,128753,1682,,
Noord-Brabant,Netherlands,2021-09-03,308305,3158,,
Noord-Holland,Netherlands,2021-09-03,335985,2702,,
Overijssel,Netherlands,2021-09-03,126374,1152,,
Sint Maarten,Netherlands,2021-09-03,3797,56,,
Unknown,Netherlands,2021-09-03,5855,15,,
Utrecht,Netherlands,2021-09-03,150199,1297,,
Zeeland,Netherlands,2021-09-03,33440,253,,
Zuid-Holland,Netherlands,2021-09-03,462827,4341,,
Aruba,Netherlands,2021-11-16,16113,172,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-11-16,2633,21,,
Curacao,Netherlands,2021-11-16,17248,175,,
Drenthe,Netherlands,2021-11-16,46433,376,,
Flevoland,Netherlands,2021-11-16,53043,269,,
Friesland,Netherlands,2021-11-16,66385,501,,
Gelderland,Netherlands,2021-11-16,266445,2197,,
Groningen,Netherlands,2021-11-16,57454,280,,
Limburg,Netherlands,2021-11-16,162988,1794,,
Noord-Brabant,Netherlands,2021-11-16,357850,3253,,
Noord-Holland,Netherlands,2021-11-16,389806,2791,,
Overijssel,Netherlands,2021-11-16,152873,1214,,
Sint Maarten,Netherlands,2021-11-16,4546,75,,
Unknown,Netherlands,2021-11-16,8525,15,,
Utrecht,Netherlands,2021-11-16,182028,1329,,
Zeeland,Netherlands,2021-11-16,42557,268,,
Zuid-Holland,Netherlands,2021-11-16,548085,4498,,
Aruba,Netherlands,2022-05-26,36564,213,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2022-05-26,10076,35,,
Curacao,Netherlands,2022-05-26,43622,277,,
Drenthe,Netherlands,2022-05-26,202568,451,,
Flevoland,Netherlands,2022-05-26,183903,332,,
Friesland,Netherlands,2022-05-26,277846,617,,
Gelderland,Netherlands,2022-05-26,985374,2803,,
Groningen,Netherlands,2022-05-26,248489,356,,
Limburg,Netherlands,2022-05-26,528863,2166,,
Noord-Brabant,Netherlands,2022-05-26,1235456,3701,,
Noord-Holland,Netherlands,2022-05-26,1324696,3377,,
Overijssel,Netherlands,2022-05-26,565978,1416,,
Sint Maarten,Netherlands,2022-05-26,10279,86,,
Unknown,Netherlands,2022-05-26,84139,21,,
Utrecht,Netherlands,2022-05-26,664342,1539,,
Zeeland,Netherlands,2022-05-26,168391,390,,
Zuid-Holland,Netherlands,2022-05-26,1694052,5166,,
Aruba,Netherlands,2021-07-03,11144,107,11009,28
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-07-03,1651,17,1619,15
Curacao,Netherlands,2021-07-03,12349,126,12199,24
Drenthe,Netherlands,2021-07-03,34319,353,0,33966
Flevoland,Netherlands,2021-07-03,37038,244,0,36794
Friesland,Netherlands,2021-07-03,43866,478,0,43388
Gelderland,Netherlands,2021-07-03,189074,2028,0,187046
Groningen,Netherlands,2021-07-03,39475,263,0,39212
Limburg,Netherlands,2021-07-03,115761,1654,0,114107
Noord-Brabant,Netherlands,2021-07-03,273410,3140,0,270270
Noord-Holland,Netherlands,2021-07-03,278860,2627,0,276233
Overijssel,Netherlands,2021-07-03,110518,1141,0,109377
Sint Maarten,Netherlands,2021-07-03,2620,33,2561,26
Unknown,Netherlands,2021-07-03,3849,15,0,3834
Utrecht,Netherlands,2021-07-03,128838,1280,0,127558
Zeeland,Netherlands,2021-07-03,29996,248,0,29748
Zuid-Holland,Netherlands,2021-07-03,402887,4285,0,398602
Aruba,Netherlands,2022-03-26,33929,212,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2022-03-26,8136,31,,
Curacao,Netherlands,2022-03-26,40217,267,,
Drenthe,Netherlands,2022-03-26,190784,442,,
Flevoland,Netherlands,2022-03-26,175691,326,,
Friesland,Netherlands,2022-03-26,265922,611,,
Gelderland,Netherlands,2022-03-26,938710,2739,,
Groningen,Netherlands,2022-03-26,234586,346,,
Limburg,Netherlands,2022-03-26,513080,2133,,
Noord-Brabant,Netherlands,2022-03-26,1198886,3649,,
Noord-Holland,Netherlands,2022-03-26,1263884,3305,,
Overijssel,Netherlands,2022-03-26,538469,1390,,
Sint Maarten,Netherlands,2022-03-26,9682,86,,
Unknown,Netherlands,2022-03-26,84139,21,,
Utrecht,Netherlands,2022-03-26,633276,1518,,
Zeeland,Netherlands,2022-03-26,160403,379,,
Zuid-Holland,Netherlands,2022-03-26,1615149,5053,,
Aruba,Netherlands,2020-10-03,4074,30,3474,570
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-10-03,124,1,46,77
Curacao,Netherlands,2020-10-03,429,1,213,215
Drenthe,Netherlands,2020-10-03,1379,51,0,1328
Flevoland,Netherlands,2020-10-03,2408,101,0,2307
Friesland,Netherlands,2020-10-03,1852,70,0,1782
Gelderland,Netherlands,2020-10-03,12679,703,0,11976
Groningen,Netherlands,2020-10-03,2147,20,0,2127
Limburg,Netherlands,2020-10-03,7001,765,0,6236
Noord-Brabant,Netherlands,2020-10-03,18980,1564,0,17416
Noord-Holland,Netherlands,2020-10-03,27047,870,0,26177
Overijssel,Netherlands,2020-10-03,5544,345,0,5199
Sint Maarten,Netherlands,2020-10-03,678,22,572,84
Unknown,Netherlands,2020-10-03,1106,18,0,1088
Utrecht,Netherlands,2020-10-03,10639,450,0,10189
Zeeland,Netherlands,2020-10-03,1450,72,0,1378
Zuid-Holland,Netherlands,2020-10-03,39657,1420,0,38237
Aruba,Netherlands,2021-03-11,8272,77,7974,221
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-03-11,196,3,180,13
Curacao,Netherlands,2021-03-11,4915,22,4688,205
Drenthe,Netherlands,2021-03-11,23170,313,0,22857
Flevoland,Netherlands,2021-03-11,26712,219,0,26493
Friesland,Netherlands,2021-03-11,28093,421,0,27672
Gelderland,Netherlands,2021-03-11,126830,1851,0,124979
Groningen,Netherlands,2021-03-11,27683,214,0,27469
Limburg,Netherlands,2021-03-11,74322,1467,0,72855
Noord-Brabant,Netherlands,2021-03-11,179370,2931,0,176439
Noord-Holland,Netherlands,2021-03-11,196939,2307,0,194632
Overijssel,Netherlands,2021-03-11,78496,1042,0,77454
Sint Maarten,Netherlands,2021-03-11,2078,27,2035,16
Unknown,Netherlands,2021-03-11,2034,11,0,2023
Utrecht,Netherlands,2021-03-11,90101,1168,0,88933
Zeeland,Netherlands,2021-03-11,17660,199,0,17461
Zuid-Holland,Netherlands,2021-03-11,267386,3855,0,263531
Aruba,Netherlands,2022-06-08,38301,216,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2022-06-08,10194,35,,
Curacao,Netherlands,2022-06-08,44127,277,,
Drenthe,Netherlands,2022-06-08,202905,452,,
Flevoland,Netherlands,2022-06-08,184413,332,,
Friesland,Netherlands,2022-06-08,278242,618,,
Gelderland,Netherlands,2022-06-08,987062,2805,,
Groningen,Netherlands,2022-06-08,249037,356,,
Limburg,Netherlands,2022-06-08,529501,2166,,
Noord-Brabant,Netherlands,2022-06-08,1237046,3705,,
Noord-Holland,Netherlands,2022-06-08,1328923,3378,,
Overijssel,Netherlands,2022-06-08,566727,1417,,
Sint Maarten,Netherlands,2022-06-08,10434,86,,
Unknown,Netherlands,2022-06-08,0,0,,
Utrecht,Netherlands,2022-06-08,666035,1539,,
Zeeland,Netherlands,2022-06-08,168693,390,,
Zuid-Holland,Netherlands,2022-06-08,1698506,5169,,
Aruba,Netherlands,2020-12-21,5176,47,4969,160
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-12-21,179,3,172,4
Curacao,Netherlands,2020-12-21,3974,11,2284,1679
Drenthe,Netherlands,2020-12-21,11141,122,0,11019
Flevoland,Netherlands,2020-12-21,16558,152,0,16406
Friesland,Netherlands,2020-12-21,12441,150,0,12291
Gelderland,Netherlands,2020-12-21,74818,1179,0,73639
Groningen,Netherlands,2020-12-21,12672,64,0,12608
Limburg,Netherlands,2020-12-21,39450,955,0,38495
Noord-Brabant,Netherlands,2020-12-21,111147,2247,0,108900
Noord-Holland,Netherlands,2020-12-21,121333,1478,0,119855
Overijssel,Netherlands,2020-12-21,45276,598,0,44678
Sint Maarten,Netherlands,2020-12-21,1338,26,1202,110
Unknown,Netherlands,2020-12-21,3498,32,0,3466
Utrecht,Netherlands,2020-12-21,59661,793,0,58868
Zeeland,Netherlands,2020-12-21,8876,115,0,8761
Zuid-Holland,Netherlands,2020-12-21,184002,2634,0,181368
Aruba,Netherlands,2020-07-13,105,3,99,3
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-07-13,7,0,7,0
Curacao,Netherlands,2020-07-13,25,1,24,0
Sint Maarten,Netherlands,2020-07-13,78,15,63,0
,Netherlands,2020-07-13,51093,6137,0,44956
Aruba,Netherlands,2021-10-06,15578,168,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-10-06,2184,20,,
Curacao,Netherlands,2021-10-06,16684,168,,
Drenthe,Netherlands,2021-10-06,39766,359,,
Flevoland,Netherlands,2021-10-06,44882,252,,
Friesland,Netherlands,2021-10-06,54390,488,,
Gelderland,Netherlands,2021-10-06,222313,2099,,
Groningen,Netherlands,2021-10-06,51175,268,,
Limburg,Netherlands,2021-10-06,133115,1701,,
Noord-Brabant,Netherlands,2021-10-06,314812,3174,,
Noord-Holland,Netherlands,2021-10-06,345818,2731,,
Overijssel,Netherlands,2021-10-06,130362,1166,,
Sint Maarten,Netherlands,2021-10-06,4355,68,,
Unknown,Netherlands,2021-10-06,6414,15,,
Utrecht,Netherlands,2021-10-06,155927,1305,,
Zeeland,Netherlands,2021-10-06,34553,258,,
Zuid-Holland,Netherlands,2021-10-06,479898,4378,,
Aruba,Netherlands,2022-05-11,35334,212,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2022-05-11,9943,35,,
Curacao,Netherlands,2022-05-11,42674,275,,
Drenthe,Netherlands,2022-05-11,202245,451,,
Flevoland,Netherlands,2022-05-11,183468,331,,
Friesland,Netherlands,2022-05-11,277457,617,,
Gelderland,Netherlands,2022-05-11,983940,2797,,
Groningen,Netherlands,2022-05-11,248028,356,,
Limburg,Netherlands,2022-05-11,528285,2165,,
Noord-Brabant,Netherlands,2022-05-11,1234071,3695,,
Noord-Holland,Netherlands,2022-05-11,1320650,3371,,
Overijssel,Netherlands,2022-05-11,565198,1416,,
Sint Maarten,Netherlands,2022-05-11,10123,86,,
Unknown,Netherlands,2022-05-11,84139,21,,
Utrecht,Netherlands,2022-05-11,662912,1536,,
Zeeland,Netherlands,2022-05-11,168044,390,,
Zuid-Holland,Netherlands,2022-05-11,1690058,5162,,
Aruba,Netherlands,2020-08-28,1906,9,743,1154
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-08-28,14,0,7,7
Curacao,Netherlands,2020-08-28,62,1,35,26
Drenthe,Netherlands,2020-08-28,606,41,0,565
Flevoland,Netherlands,2020-08-28,1291,94,0,1197
Friesland,Netherlands,2020-08-28,807,69,0,738
Gelderland,Netherlands,2020-08-28,7359,688,0,6671
Groningen,Netherlands,2020-08-28,584,19,0,565
Limburg,Netherlands,2020-08-28,5357,755,0,4602
Noord-Brabant,Netherlands,2020-08-28,11994,1547,0,10447
Noord-Holland,Netherlands,2020-08-28,12036,826,0,11210
Overijssel,Netherlands,2020-08-28,3467,314,0,3153
Sint Maarten,Netherlands,2020-08-28,444,17,179,248
Unknown,Netherlands,2020-08-28,608,18,0,590
Utrecht,Netherlands,2020-08-28,5350,434,0,4916
Zeeland,Netherlands,2020-08-28,1036,72,0,964
Zuid-Holland,Netherlands,2020-08-28,18636,1343,0,17293
Aruba,Netherlands,2022-02-16,33544,198,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2022-02-16,7455,31,,
Curacao,Netherlands,2022-02-16,38530,260,,
Drenthe,Netherlands,2022-02-16,126982,435,,
Flevoland,Netherlands,2022-02-16,140708,320,,
Friesland,Netherlands,2022-02-16,188172,592,,
Gelderland,Netherlands,2022-02-16,681737,2646,,
Groningen,Netherlands,2022-02-16,158905,347,,
Limburg,Netherlands,2022-02-16,370780,2095,,
Noord-Brabant,Netherlands,2022-02-16,871101,3589,,
Noord-Holland,Netherlands,2022-02-16,987752,3221,,
Overijssel,Netherlands,2022-02-16,393927,1361,,
Sint Maarten,Netherlands,2022-02-16,9505,84,,
Unknown,Netherlands,2022-02-16,77624,21,,
Utrecht,Netherlands,2022-02-16,483983,1493,,
Zeeland,Netherlands,2022-02-16,121681,367,,
Zuid-Holland,Netherlands,2022-02-16,1303508,4945,,
Aruba,Netherlands,2021-11-28,16324,174,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-11-28,2889,22,,
Curacao,Netherlands,2021-11-28,17397,178,,
Drenthe,Netherlands,2021-11-28,51520,390,,
Flevoland,Netherlands,2021-11-28,59183,277,,
Friesland,Netherlands,2021-11-28,76525,515,,
Gelderland,Netherlands,2021-11-28,298546,2313,,
Groningen,Netherlands,2021-11-28,62831,295,,
Limburg,Netherlands,2021-11-28,188351,1869,,
Noord-Brabant,Netherlands,2021-11-28,398416,3320,,
Noord-Holland,Netherlands,2021-11-28,430078,2858,,
Overijssel,Netherlands,2021-11-28,170241,1246,,
Sint Maarten,Netherlands,2021-11-28,4575,75,,
Unknown,Netherlands,2021-11-28,10628,15,,
Utrecht,Netherlands,2021-11-28,203080,1352,,
Zeeland,Netherlands,2021-11-28,50256,273,,
Zuid-Holland,Netherlands,2021-11-28,599924,4594,,
Aruba,Netherlands,2021-04-05,9681,90,9053,538
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-04-05,196,3,180,13
Curacao,Netherlands,2021-04-05,10066,52,5525,4489
Drenthe,Netherlands,2021-04-05,27442,326,0,27116
Flevoland,Netherlands,2021-04-05,29786,226,0,29560
Friesland,Netherlands,2021-04-05,33904,450,0,33454
Gelderland,Netherlands,2021-04-05,144693,1903,0,142790
Groningen,Netherlands,2021-04-05,31407,234,0,31173
Limburg,Netherlands,2021-04-05,85458,1522,0,83936
Noord-Brabant,Netherlands,2021-04-05,206379,3014,0,203365
Noord-Holland,Netherlands,2021-04-05,226082,2433,0,223649
Overijssel,Netherlands,2021-04-05,87018,1074,0,85944
Sint Maarten,Netherlands,2021-04-05,2151,27,2083,41
Unknown,Netherlands,2021-04-05,2724,13,0,2711
Utrecht,Netherlands,2021-04-05,101818,1197,0,100621
Zeeland,Netherlands,2021-04-05,21609,222,0,21387
Zuid-Holland,Netherlands,2021-04-05,309146,4015,0,305131
Aruba,Netherlands,2022-03-11,33796,212,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2022-03-11,7633,31,,
Curacao,Netherlands,2022-03-11,39459,265,,
Drenthe,Netherlands,2022-03-11,164736,438,,
Flevoland,Netherlands,2022-03-11,160922,324,,
Friesland,Netherlands,2022-03-11,239153,601,,
Gelderland,Netherlands,2022-03-11,841835,2704,,
Groningen,Netherlands,2022-03-11,205526,343,,
Limburg,Netherlands,2022-03-11,469531,2113,,
Noord-Brabant,Netherlands,2022-03-11,1114443,3612,,
Noord-Holland,Netherlands,2022-03-11,1160786,3268,,
Overijssel,Netherlands,2022-03-11,481860,1382,,
Sint Maarten,Netherlands,2022-03-11,9599,85,,
Unknown,Netherlands,2022-03-11,84139,21,,
Utrecht,Netherlands,2022-03-11,579374,1513,,
Zeeland,Netherlands,2022-03-11,145871,373,,
Zuid-Holland,Netherlands,2022-03-11,1491759,5017,,
Aruba,Netherlands,2021-07-31,11730,110,11160,460
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-07-31,1707,17,1661,29
Curacao,Netherlands,2021-07-31,13625,126,12853,646
Drenthe,Netherlands,2021-07-31,36780,353,0,36427
Flevoland,Netherlands,2021-07-31,40005,244,0,39761
Friesland,Netherlands,2021-07-31,48021,483,0,47538
Gelderland,Netherlands,2021-07-31,206783,2034,0,204749
Groningen,Netherlands,2021-07-31,47301,264,0,47037
Limburg,Netherlands,2021-07-31,123956,1660,0,122296
Noord-Brabant,Netherlands,2021-07-31,298613,3145,0,295468
Noord-Holland,Netherlands,2021-07-31,319388,2648,0,316740
Overijssel,Netherlands,2021-07-31,120523,1145,0,119378
Sint Maarten,Netherlands,2021-07-31,2770,34,2655,81
Unknown,Netherlands,2021-07-31,5054,15,0,5039
Utrecht,Netherlands,2021-07-31,144364,1284,0,143080
Zeeland,Netherlands,2021-07-31,31978,250,0,31728
Zuid-Holland,Netherlands,2021-07-31,442745,4302,0,438443
Aruba,Netherlands,2020-08-05,171,3,112,56
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-08-05,13,0,7,6
Curacao,Netherlands,2020-08-05,29,1,24,4
Drenthe,Netherlands,2020-08-05,559,41,0,518
Flevoland,Netherlands,2020-08-05,1036,93,0,943
Friesland,Netherlands,2020-08-05,657,69,0,588
Gelderland,Netherlands,2020-08-05,6672,684,0,5988
Groningen,Netherlands,2020-08-05,405,17,0,388
Limburg,Netherlands,2020-08-05,4949,754,0,4195
Noord-Brabant,Netherlands,2020-08-05,10356,1538,0,8818
Noord-Holland,Netherlands,2020-08-05,8590,815,0,7775
Overijssel,Netherlands,2020-08-05,3202,311,0,2891
Sint Maarten,Netherlands,2020-08-05,156,16,64,76
Unknown,Netherlands,2020-08-05,527,18,0,509
Utrecht,Netherlands,2020-08-05,4480,432,0,4048
Zeeland,Netherlands,2020-08-05,896,69,0,827
Zuid-Holland,Netherlands,2020-08-05,14052,1312,0,12740
Aruba,Netherlands,2021-03-26,9142,82,8401,659
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-03-26,196,3,180,13
Curacao,Netherlands,2021-03-26,7057,28,5008,2021
Drenthe,Netherlands,2021-03-26,25763,321,0,25442
Flevoland,Netherlands,2021-03-26,28430,225,0,28205
Friesland,Netherlands,2021-03-26,31610,442,0,31168
Gelderland,Netherlands,2021-03-26,137142,1881,0,135261
Groningen,Netherlands,2021-03-26,29962,226,0,29736
Limburg,Netherlands,2021-03-26,80110,1504,0,78606
Noord-Brabant,Netherlands,2021-03-26,194642,2992,0,191650
Noord-Holland,Netherlands,2021-03-26,214501,2374,0,212127
Overijssel,Netherlands,2021-03-26,83486,1069,0,82417
Sint Maarten,Netherlands,2021-03-26,2118,27,2064,27
Unknown,Netherlands,2021-03-26,2510,11,0,2499
Utrecht,Netherlands,2021-03-26,97256,1182,0,96074
